"Subject" "StartTime" "Range" "RealAngle" "Error" "ResponseAngle" "RealTime"
2 50 300 110 -26.3401917 83.6598083 674
2 50 300 208 -19.8698976 188.130102 757
2 50 300 102 -4.40535663 97.5946434 571
2 50 300 235 -40.9637565 194.036243 849
2 50 300 210 -21.8698976 188.130102 610
2 50 300 161 -10.7448813 150.255119 658
2 50 300 38 -31.990994 6.00900596 572
2 50 300 193 -21.1301024 171.869898 813
2 150 100 81 -27.8698976 53.1301024 690
2 150 100 298 -17.9920202 280.00798 750
2 150 100 169 -14.0168935 154.983107 700
2 150 100 57 -23.3099325 33.6900675 683
2 150 100 86 -16.5560452 69.4439548 684
2 150 100 44 -28.7448813 15.2551187 735
2 150 100 35 -20.0685828 14.9314172 680
2 150 100 283 -16.0127875 266.987212 743
2 150 100 317 -27.1148349 289.885165 748
2 150 100 22 -14.4053566 7.59464337 722
2 150 100 256 -12.5650512 243.434949 734
2 100 200 137 -13.3099325 123.690068 678
2 100 200 282 -4.87498365 277.125016 641
2 100 200 208 -15.1957339 192.804266 638
2 100 200 180 -19.9831065 160.016893 759
2 100 200 95 -17.9946168 77.0053832 630
2 100 200 356 -11.9453959 344.054604 765
2 100 200 276 -17.3099325 258.690068 637
2 100 200 265 -8.49573328 256.504267 717
2 100 200 155 -7.47119229 147.528808 772
2 100 200 217 -27.5376778 189.462322 713
2 50 300 164 -16.4711923 147.528808 803
2 50 300 57 -28.3895403 28.6104597 655
2 50 300 188 -19.3099325 168.690068 585
2 50 300 242 -13.9872125 228.012788 619
2 50 300 347 -0.240519915 346.75948 659
2 50 300 175 -21.5650512 153.434949 663
2 50 300 144 -9 135 789
2 50 300 199 -37.4349488 161.565051 664
2 50 300 204 -24 180 598
2 50 300 40 -25.0685828 14.9314172 735
2 50 300 47 -20.4349488 26.5650512 657
2 221 0 178 -24.5650512 153.434949 721
2 221 0 283 -24.3099325 258.690068 721
2 221 0 137 -17.2551187 119.744881 721
2 221 0 187 -35.6104597 151.38954 721
2 221 0 254 -11.6459754 242.354025 721
2 221 0 242 -3.32869287 238.671307 721
2 221 0 224 -36.8749837 187.125016 721
2 221 0 292 -13.1193408 278.880659 721
2 221 0 74 -23.8055711 50.1944289 721
2 50 300 90 -14.0362435 75.9637565 775
2 50 300 159 -3.77514057 155.224859 631
2 50 300 70 -36.3099325 33.6900675 793
2 50 300 351 -12.8014095 338.198591 785
2 50 300 163 -12.7448813 150.255119 654
2 50 300 52 -30.1985905 21.8014095 689
2 50 300 268 -53.905022 214.094978 556
2 50 300 51 -39.6900675 11.3099325 626
2 50 300 191 -22.3099325 168.690068 806
2 50 300 72 -11.0546041 60.9453959 771
2 159 0 161 -17.8698976 143.130102 659
